old_source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_experiment_metab,ena_accession_number_run_metag,ena_accession_number_run_metab,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,source_mat_id
EMOBON_ESC68N_Wa_220209_3um_1,EMOBON00375,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ESC68N_Wa_31
EMOBON_ESC68N_Wa_220209_3um_2,EMOBON00376,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ESC68N_Wa_32
EMOBON_ESC68N_Wa_220209_0.2um_1,EMOBON00377,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ESC68N_Wa_33
EMOBON_ESC68N_Wa_220209_0.2um_2,EMOBON00378,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ESC68N_Wa_34
EMOBON_ESC68N_Wa_220505_3um_1,EMOBON00379,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ESC68N_Wa_41
EMOBON_ESC68N_Wa_220505_3um_2,EMOBON00380,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ESC68N_Wa_42
EMOBON_ESC68N_Wa_220505_0.2um_1,EMOBON00381,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ESC68N_Wa_43
EMOBON_ESC68N_Wa_220505_0.2um_2,EMOBON00382,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ESC68N_Wa_44
EMOBON_ESC68N_Wa_220614_3um_1,EMOBON00383,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ESC68N_Wa_51
EMOBON_ESC68N_Wa_220614_3um_2,EMOBON00384,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ESC68N_Wa_52
EMOBON_ESC68N_Wa_220614_0.2um_1,EMOBON00385,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ESC68N_Wa_53
EMOBON_ESC68N_Wa_220614_0.2um_2,EMOBON00386,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ESC68N_Wa_54
EMOBON_ESC68N_Wa_220824_3um_1,EMOBON00387,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ESC68N_Wa_61
EMOBON_ESC68N_Wa_220824_3um_2,EMOBON00388,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ESC68N_Wa_62
EMOBON_ESC68N_Wa_220824_0.2um_1,EMOBON00389,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ESC68N_Wa_63
EMOBON_ESC68N_Wa_220824_0.2um_2,EMOBON00390,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ESC68N_Wa_64
EMOBON_PiEGetxo_Wa_220221_3um_1,EMOBON00391,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_PiEGetxo_Wa_60
